dihedral,k,d,n,comments
cp-cp-cp-cp,7,-1,2,benzene-fda-acid gaff
cp-cp-cp-hc,7,-1,2,benzene-fda-acid gaff
hc-cp-cp-hc,7,-1,2,benzene-fda-acid gaff
cl-c2-c2-cl,1,-1,1,dce gaff
cl-c2-c2-hc,1,1,1,dce gaff
hc-c2-c2-hc,1,1,1,dce gaff
coh-cp-cp-cp,7,-1,2,benzene-fda-acid gaff
coh-cp-cp-hc,7,-1,2,benzene-fda-acid gaff
o-coh-cp-cp,0,1,2,benzene-fda-acid gaff
hc-coh-cp-cp,0,1,2,benzene-fda-acid gaff
cp-cp-cp-coh,7,-1,2,benzene-fda-acid gaff
cp-cp-coh-hc,0,1,2,benzene-fda-acid gaff
cp-cp-coh-oh,0,1,2,benzene-fda-acid gaff
cp-coh-oh-c3,1,1,3,benzene-fda-acid gaff
cp-cp-cp-sf,7,1,2,benzene-fda-acid gaff
cp-cp-sf-oh,2,-1,2,benzene-fda-acid gaff
cp-cp-sf-o=,2,-1,2,benzene-fda-acid gaff
cp-sf-oh-ho,19,-1,1,benzene-fda-acid gaff
hc-cp-cp-coh,7,-1,2,benzene-fda-acid gaff
hc-cp-cp-sf,7,-1,2,benzene-fda-acid gaff
coh-oh-c3-hc,1,0,3,benzene-fda-acid gaff
hc-coh-oh-c3,1,0,3,benzene-fda-acid gaff
o=-sf-oh-ho,19,-1,1,benzene-fda-acid gaff
cp-cp-coh-o,0,0,2,benzene-fda-acid gaff
sf-cp-cp-cp,7,-1,2,benzene-fda-acid gaff
sf-cp-cp-hc,7,-1,2,benzene-fda-acid gaff
oh-coh-cp-cp,0,1,2,benzene-fda-acid gaff
cp-cp-coh-cp,0,1,2,benzene2-2fda
cp-coh-cp-cp,0,1,2,benzene2-2fda
o-coh-oh-c3,3,-1,1,FDA gaff
cg-cg-cg-cg,100,-1,2,graphite sheet strong almost rigid
o1=-c3-n3m-c4,5,-1,2,dmf gaff
c3-n3m-c4-h1,0,1,2,dmf gaff
h1-c3-n3m-c4,5,-1,2,dmf gaff
c4-n3m-c4-h1,0,1,2,dmf gaff
h1-c4-n3m-c4,0,1,2,dmf gaff
